Back,Back
"Delete Blog","Delete Blog"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Save and Continue Edit","Save and Continue Edit"
"Save Blog","Save Blog"
"We can't find a testimonial to delete.","We can't find a testimonial to delete."
"The testimonial has been deleted.","The testimonial has been deleted."
"An error occurred while deleting the testimonial.","An error occurred while deleting the testimonial."
"This testimonial no longer exists.","This testimonial no longer exists."
"Edit Testimonial","Edit Testimonial"
"New Testimonial","New Testimonial"
Testimonials,Testimonials
"A total of %1 testimonial(s) have been deleted.","A total of %1 testimonial(s) have been deleted."
"An error occurred while deleting testimonials.","An error occurred while deleting testimonials."
"A total of %1 testimonial(s) have been updated.","A total of %1 testimonial(s) have been updated."
"An error occurred while updating testimonials.","An error occurred while updating testimonials."
"The testimonial has been saved.","The testimonial has been saved."
"Something went wrong while saving the testimonial.","Something went wrong while saving the testimonial."
Enabled,Enabled
Disabled,Disabled
"Testimonial not found.","Testimonial not found."
Edit,Edit
Delete,Delete
"Delete ""%1""","Delete ""%1"""
"Are you sure you want to delete this testimonial?","Are you sure you want to delete this testimonial?"
"What Our Customers Say","What Our Customers Say"
"
            Testimonial Information
        ","
            Testimonial Information
        "
General,General
Status,Status
"Company Name","Company Name"
Name,Name
"Post / Designation","Post / Designation"
Message,Message
"
                    Maximum 200 words (approx. 1200 characters)
                ","
                    Maximum 200 words (approx. 1200 characters)
                "
"Profile Picture","Profile Picture"
"Add New Testimonial","Add New Testimonial"
Actions,Actions
